T,U,Delta,kind,hilbert_mode,run,mu,mu_minus_U_over_2,ne_actual,dne,A_arith_0,A_typ_0,sigma,kappa,lorenz,L11,L12,L22,iterations,converged,diff,max_ImSigma_raw,max_ImSigma_thermal,n_causality_bad,n_causality_bad_thermal,status,error
0.02,0,0.05,typ,eta,target_ne,3.001860994776404,3.001860994776404,0.4985735943476949,-0.001426405652305063,4.063950885076242e-05,4.063755069925969e-05,2.189901364335508e-08,3.438055875271281e-09,7.849796185488258,2.189901364335508e-08,-1.380340649424944e-10,6.963117509773778e-11,238,True,0.001997017710587756,2.737077683969033,-0.007583200752208882,53,0,ok,
0.02,0,0.05,typ,eta,mu_U_over_2_diagnostic,0,0,0.4076431115498959,-0.09235688845010409,0.4278928012483906,0.4278927744091684,78.6122061096015,5.324949947709888,3.386846783237337,78.6122061096015,2.361444373377708e-13,0.1064989989541978,250,False,0.04033755319167973,2.711118295193341,0.4069677542328934,196,62,ok,
0.02,0.5,0.05,typ,eta,target_ne,3.250484913730817,3.000484913730817,0.5003789501413306,0.0003789501413306029,4.16506828988685e-05,4.164858567509613e-05,2.275478224103425e-08,3.90237959450929e-09,8.574855942747792,2.275478224103425e-08,-1.557019707468125e-10,7.91129988643173e-11,59,True,0.001968664214772599,2.725658591197248,-0.007687032465680648,54,0,ok,
0.02,0.5,0.05,typ,eta,mu_U_over_2_diagnostic,0.25,0,0.3990400900340831,-0.1009599099659169,0.4030073559540889,0.4030073482702303,68.44809581664529,5.198840305946094,3.797651522602206,68.44809581664529,0.0005640639563934124,0.1039768107672345,250,False,0.0406555373041484,2.698607305925586,0.3430119508522023,196,62,ok,
0.02,1,0.05,typ,eta,target_ne,3.791972041671038,3.291972041671038,0.5222396773423222,0.02223967734232224,3.576630316558028e-05,3.576466300490197e-05,1.724976023498842e-08,1.54740348434676e-09,4.485289833791708,1.724976023498842e-08,-6.607386529443013e-11,3.120116049025497e-11,250,False,0.004086676140972773,2.691111356787931,-0.007201129693273553,57,0,ok,
0.02,1,0.05,typ,eta,mu_U_over_2_diagnostic,0.5,0,0.3707305196029253,-0.1292694803970747,0.3169085747501825,0.3169085611193652,79.67242512252689,5.429874866473038,3.407624945595998,79.67242512252689,-4.669520120925696e-05,0.1085974973568283,250,False,0.0415877027230492,2.660960522293001,0.1247852210576337,198,62,ok,
0.02,1.5,0.05,typ,eta,target_ne,3.570842583180347,2.820842583180347,0.5020563270035333,0.002056327003533309,6.000417202978387e-05,5.999920716647813e-05,5.451803051582961e-08,1.165665407132808e-07,106.9064120717228,5.451803051582961e-08,-6.516749260534537e-09,3.110302844672082e-09,245,True,0.001965516456350879,2.632372948197309,-0.009606757850371517,55,0,ok,
0.02,1.5,0.05,typ,eta,mu_U_over_2_diagnostic,0.75,0,0.3124463299497788,-0.1875536700502212,0.05120630425759685,0.05120624707685208,0.02955472850175519,0.004737095216736414,8.014107144403454,0.02955472850175519,-1.167491194644559e-05,9.474651623867281e-05,250,False,0.0197196461283669,2.597673182418108,-0.4184457762850547,54,0,ok,
0.02,2,0.05,typ,eta,target_ne,4.184256336625345,3.184256336625345,0.5342494658971529,0.03424946589715294,5.011574044928683e-05,5.011200072067196e-05,2.956002228890906e-08,4.328525447814918e-09,7.321586914768639,2.956002228890906e-08,-1.839586258364894e-10,8.771532460254184e-11,250,False,0.003667639546725692,2.548170593201215,-0.008723629747417132,59,0,ok,
0.02,2,0.05,typ,eta,mu_U_over_2_diagnostic,1,0,0.2524756586857603,-0.2475243413142397,0.0008231758594385915,0.000823175683140294,4.969480860448743e-06,6.535559280017015e-07,6.575696197999699,4.969480860448743e-06,9.240172014112241e-11,1.307112027813661e-08,250,False,0.03643210289568988,2.513612127023598,-0.4895726377607881,56,0,ok,
0.02,0,0.5,typ,eta,target_ne,2.99844043251384,2.99844043251384,0.4987433297998095,-0.001256670200190546,4.104330141584363e-05,4.084469437588609e-05,2.206193097355113e-08,3.419160767593913e-09,7.749006131179002,2.206193097355113e-08,-1.375966836838112e-10,6.924138354139351e-11,227,True,0.001997335212250123,2.733321433293439,-0.007615236597488653,53,0,ok,
0.02,0,0.5,typ,eta,mu_U_over_2_diagnostic,0,0,0.4048079981547753,-0.09519200184522475,0.4201709675963258,0.4199366253263779,77.89207711245764,5.388819892134769,3.45915790918927,77.89207711245764,7.632783294297951e-13,0.1077763978426954,250,False,0.04176583968489676,2.706782249077514,0.3867840563470725,196,62,ok,
