T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,runtime_dmft_sec,solution_dir,status,error
0.02,0.3,0.635,typ,0.5,0.5,0.1820063923490264,0.5003932807364732,0.0003932807364731561,0.5782274600286279,0.576168694043122,0.9964395222852197,31,True,0.001926025702401033,0.05100178718566895,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p635__w1_0p5__typ,ok,
0.02,0.3,0.635,typ,0.45,0.55,0.2545423530796816,0.5495334180052478,-0.0004665819947522465,0.5757713969437568,0.5725443696323873,0.994395297632882,43,True,0.001961465627869591,0.07583355903625488,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p635__w1_0p45__typ,ok,
0.02,0.3,0.635,typ,0.4,0.6,0.3373937880559603,0.6010406803358145,0.001040680335814503,0.5694069578649494,0.5631554307452015,0.9890209857231308,168,True,0.001985050418727495,0.2854106426239014,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p635__w1_0p4__typ,ok,
0.02,0,0.635,typ,0.5,0.5,0.03766604861227865,0.4963780412197902,-0.003621958780209822,0.5977420202900737,0.5936428584308546,0.9931422558226208,68,True,0.001973130499636889,0.1015756130218506,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0__Delta_0p635__w1_0p5__typ,ok,
0.02,0,0.635,typ,0.45,0.55,0.1273519731149952,0.551015632234322,0.001015632234321995,0.5951374709425431,0.5892797595268885,0.9901573809385964,93,True,0.001941103839463623,0.2423934936523438,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0__Delta_0p635__w1_0p45__typ,ok,
0.02,0,0.635,typ,0.4,0.6,0.205959902310884,0.5998447401020127,-0.0001552598979872588,0.5902855934253071,0.5812394140192872,0.9846749107435832,59,True,0.001853646648327695,0.1879627704620361,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0__Delta_0p635__w1_0p4__typ,ok,
0.02,0.1,0.635,typ,0.5,0.5,0.08793071415740444,0.4952572733244329,-0.004742726675567133,0.5955678374655408,0.5917278249286262,0.9935523507225376,57,True,0.001896560755762905,0.09052705764770508,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p635__w1_0p5__typ,ok,
0.02,0.1,0.635,typ,0.45,0.55,0.1764760653813512,0.5519689645743674,0.001968964574367349,0.592740898016323,0.5870702828978123,0.9904332312187533,54,True,0.001931497289717452,0.1009149551391602,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p635__w1_0p45__typ,ok,
0.02,0.1,0.635,typ,0.4,0.6,0.2463000750779946,0.5991899179181204,-0.000810082081879604,0.5880711539623293,0.5794264476555296,0.9852998973873263,36,True,0.001899864225604348,0.09215402603149414,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p635__w1_0p4__typ,ok,
0.02,0.2,0.635,typ,0.5,0.5,0.136194229304595,0.4997217131813667,-0.0002782868186332887,0.5890843705434975,0.5859903650673102,0.9947477719136687,118,True,0.001925435206641151,0.325096607208252,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p635__w1_0p5__typ,ok,
0.02,0.2,0.635,typ,0.45,0.55,0.2216203332481952,0.5489520648233612,-0.001047935176638815,0.5861083890918313,0.5813113606972431,0.9918154585672778,71,True,0.001951189884242286,0.2141132354736328,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p635__w1_0p45__typ,ok,
0.02,0.2,0.635,typ,0.4,0.6,0.2993933964469702,0.6020236095306486,0.002023609530648618,0.5803029797680389,0.5722019010723622,0.9860399153922752,27,True,0.001948256106236305,0.09449028968811035,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p635__w1_0p4__typ,ok,
0.02,0.4,0.635,typ,0.5,0.5,0.2391490519212716,0.5014603777971572,0.001460377797157242,0.5626655553648455,0.5616047937093067,0.9981147563673931,20,True,0.001867765697563832,0.05016684532165527,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p4__Delta_0p635__w1_0p5__typ,ok,
0.02,0.4,0.635,typ,0.45,0.55,0.3060693006626008,0.5527144742325819,0.002714474232581865,0.5598527602175927,0.5578008752276663,0.9963349560174913,82,True,0.001996117216058163,0.2500669956207275,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p4__Delta_0p635__w1_0p45__typ,ok,
0.02,0.4,0.635,typ,0.4,0.6,0.3651110333031455,0.5976680947926628,-0.00233190520733717,0.5548010354685902,0.550749503887478,0.992697325127214,77,True,0.001897526624965586,0.2792010307312012,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p4__Delta_0p635__w1_0p4__typ,ok,
0.02,0.6000000000000001,0.635,typ,0.5,0.5,0.3307532398026931,0.5007672923776971,0.0007672923776971263,0.5167265929796522,0.5166841905892119,0.9999179403750138,28,True,0.001968867213743612,0.1179401874542236,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_6_6__typ/dmft_solutions/T_0p02/U_0p6__Delta_0p635__w1_0p5__typ,ok,
